npc_name,wiki_title,wiki_url,status,notes
Catherine,Catherine,https://wiki.ultimacodex.com/wiki/Catherine,found,
Chad,Chad,https://wiki.ultimacodex.com/wiki/Chad,found,
Chantu,Chantu,https://wiki.ultimacodex.com/wiki/Chantu,found,
Charles,Charles,https://wiki.ultimacodex.com/wiki/Charles,found,
Chuckles,Chuckles,https://wiki.ultimacodex.com/wiki/Chuckles,found,
Clint,Clint,https://wiki.ultimacodex.com/wiki/Clint,found,
Constance,Constance,https://wiki.ultimacodex.com/wiki/Constance,found,
Coop,Coop,https://wiki.ultimacodex.com/wiki/Coop,found,
Cosmo,Cosmo,https://wiki.ultimacodex.com/wiki/Cosmo,found,
Csil,Csil,https://wiki.ultimacodex.com/wiki/Csil,found,
Cubolt,Cubolt,https://wiki.ultimacodex.com/wiki/Cubolt,found,
Cynthia,Cynthia,https://wiki.ultimacodex.com/wiki/Cynthia,found,
D Rel,D'Rel,https://wiki.ultimacodex.com/wiki/D%27Rel,manual,"manual, apostrophe in wiki title"
Danag,Danag,https://wiki.ultimacodex.com/wiki/Danag,found,
Daphne,Daphne,https://wiki.ultimacodex.com/wiki/Daphne,found,
Dark Core,,,skip,in SKIP list
De Maria,De Maria,https://wiki.ultimacodex.com/wiki/De_Maria,found,
De Snel,De Snel,https://wiki.ultimacodex.com/wiki/De_Snel,found,
Dell,Dell,https://wiki.ultimacodex.com/wiki/Dell,found,
Denby,Denby,https://wiki.ultimacodex.com/wiki/Denby,found,
Denton,Sir Denton,https://wiki.ultimacodex.com/wiki/Sir_Denton,found,redirected from 'Denton'
Diane,Diane,https://wiki.ultimacodex.com/wiki/Diane,found,
Dracothraxus,Dracothraxus,https://wiki.ultimacodex.com/wiki/Dracothraxus,found,
Draxinusom,Lord Draxinusom,https://wiki.ultimacodex.com/wiki/Lord_Draxinusom,found,redirected from 'Draxinusom'
Dupre,Dupre,https://wiki.ultimacodex.com/wiki/Dupre,found,
Dustin,Dustin,https://wiki.ultimacodex.com/wiki/Dustin,found,
Effrem,Effrem,https://wiki.ultimacodex.com/wiki/Effrem,found,
Eiko,Eiko,https://wiki.ultimacodex.com/wiki/Eiko,found,
Elad,Elad,https://wiki.ultimacodex.com/wiki/Elad,found,
Eldroth,Eldroth,https://wiki.ultimacodex.com/wiki/Eldroth,found,
Elizabeth,Elizabeth,https://wiki.ultimacodex.com/wiki/Elizabeth,found,
Ellen,Ellen,https://wiki.ultimacodex.com/wiki/Ellen,found,
Elynor,Elynor,https://wiki.ultimacodex.com/wiki/Elynor,found,
Emp,Emps,https://wiki.ultimacodex.com/wiki/Emps,found,redirected from 'Emp'
Erethian,Erethian,https://wiki.ultimacodex.com/wiki/Erethian,found,
Fenn,Fenn,https://wiki.ultimacodex.com/wiki/Fenn,found,
Feridwyn,Feridwyn,https://wiki.ultimacodex.com/wiki/Feridwyn,found,
Ferryman,Ferryman,https://wiki.ultimacodex.com/wiki/Ferryman,found,
Figg,Figg,https://wiki.ultimacodex.com/wiki/Figg,found,
Finnigan,Finnigan,https://wiki.ultimacodex.com/wiki/Finnigan,found,
Fodus,Fodus,https://wiki.ultimacodex.com/wiki/Fodus,found,
For Lem,For-Lem,https://wiki.ultimacodex.com/wiki/For-Lem,manual,"manual, hyphenated on wiki"
Foranamo,Foranamo,https://wiki.ultimacodex.com/wiki/Foranamo,found,
Forbrak,Forbrak,https://wiki.ultimacodex.com/wiki/Forbrak,found,
Forskis,Forskis,https://wiki.ultimacodex.com/wiki/Forskis,found,
Forsythe,Forsythe,https://wiki.ultimacodex.com/wiki/Forsythe,found,
Frank,Frank the Fox,https://wiki.ultimacodex.com/wiki/Frank_the_Fox,manual,"manual, wiki uses full name"
Fred,Fred,https://wiki.ultimacodex.com/wiki/Fred,found,
Gargan,Gargan,https://wiki.ultimacodex.com/wiki/Gargan,found,
Garok,Garok Al-Mat,https://wiki.ultimacodex.com/wiki/Garok_Al-Mat,manual,"manual, wiki uses full name"
Garritt,Garritt,https://wiki.ultimacodex.com/wiki/Garritt,found,
Gaye,Gaye,https://wiki.ultimacodex.com/wiki/Gaye,found,
Geoffrey,Geoffrey,https://wiki.ultimacodex.com/wiki/Geoffrey,found,
Gharl,Gharl,https://wiki.ultimacodex.com/wiki/Gharl,found,
Gilberto,Gilberto,https://wiki.ultimacodex.com/wiki/Gilberto,found,
Gladstone,Gladstone,https://wiki.ultimacodex.com/wiki/Gladstone,found,
Glenno,Glenno,https://wiki.ultimacodex.com/wiki/Glenno,found,
Gordon,Gordon,https://wiki.ultimacodex.com/wiki/Gordon,found,
Gordy,Gordy,https://wiki.ultimacodex.com/wiki/Gordy,found,
Gorn,Gorn,https://wiki.ultimacodex.com/wiki/Gorn,found,
Goth,Goth,https://wiki.ultimacodex.com/wiki/Goth,found,
Grayson,Grayson (U7),https://wiki.ultimacodex.com/wiki/Grayson_%28U7%29,manual,"manual, disambiguated"
Greg,Greg,https://wiki.ultimacodex.com/wiki/Greg,found,
Gregor,Gregor,https://wiki.ultimacodex.com/wiki/Gregor,found,
Grod,Grod,https://wiki.ultimacodex.com/wiki/Grod,found,
Guard,,,skip,in SKIP list
Guardian,Guardian,https://wiki.ultimacodex.com/wiki/Guardian,found,
Henry,Henry,https://wiki.ultimacodex.com/wiki/Henry,found,
Hook,Hook,https://wiki.ultimacodex.com/wiki/Hook,found,
Horance,Horance,https://wiki.ultimacodex.com/wiki/Horance,found,
Horffe,Sir Horffe,https://wiki.ultimacodex.com/wiki/Sir_Horffe,found,redirected from 'Horffe'
Ian,Ian,https://wiki.ultimacodex.com/wiki/Ian,found,
Inforlem,Inforlem,https://wiki.ultimacodex.com/wiki/Inforlem,found,
Inmanilem,Inmanilem,https://wiki.ultimacodex.com/wiki/Inmanilem,found,
Inwisloklem,Inwisloklem,https://wiki.ultimacodex.com/wiki/Inwisloklem,found,
Iolo,Iolo,https://wiki.ultimacodex.com/wiki/Iolo,found,
Iriale,Iriale Silvermist,https://wiki.ultimacodex.com/wiki/Iriale_Silvermist,manual,"manual, wiki uses full name"
Iskander,Iskander,https://wiki.ultimacodex.com/wiki/Iskander,found,
Jaana,Jaana,https://wiki.ultimacodex.com/wiki/Jaana,found,
Jakher,Jakher,https://wiki.ultimacodex.com/wiki/Jakher,found,
James,James,https://wiki.ultimacodex.com/wiki/James,found,
Jeanette,Jeanette,https://wiki.ultimacodex.com/wiki/Jeanette,found,
Jehanne,Lady Jehanne,https://wiki.ultimacodex.com/wiki/Lady_Jehanne,found,redirected from 'Jehanne'
Jergi,Jergi,https://wiki.ultimacodex.com/wiki/Jergi,found,
Jesse,Jesse,https://wiki.ultimacodex.com/wiki/Jesse,found,
Jillian,Jillian,https://wiki.ultimacodex.com/wiki/Jillian,found,
John Paul,Lord John-Paul,https://wiki.ultimacodex.com/wiki/Lord_John-Paul,manual,"manual, wiki uses Lord + hyphen"
Johnson,Johnson,https://wiki.ultimacodex.com/wiki/Johnson,found,
Jordan,Sir Jordan,https://wiki.ultimacodex.com/wiki/Sir_Jordan,found,redirected from 'Jordan'
Joseph,Joseph,https://wiki.ultimacodex.com/wiki/Joseph,found,
Judith,Judith,https://wiki.ultimacodex.com/wiki/Judith,found,
Julia,Julia,https://wiki.ultimacodex.com/wiki/Julia,found,
Kallibrus,Kallibrus,https://wiki.ultimacodex.com/wiki/Kallibrus,found,
Karenna,Karenna,https://wiki.ultimacodex.com/wiki/Karenna,found,
Karl,Karl,https://wiki.ultimacodex.com/wiki/Karl,found,
Katrina,Katrina,https://wiki.ultimacodex.com/wiki/Katrina,found,
Kelly,Kelly,https://wiki.ultimacodex.com/wiki/Kelly,found,
Kessler,Kessler,https://wiki.ultimacodex.com/wiki/Kessler,found,
Kissme,Kissme,https://wiki.ultimacodex.com/wiki/Kissme,found,
Kliftin,Kliftin,https://wiki.ultimacodex.com/wiki/Kliftin,found,
Klog,Klog,https://wiki.ultimacodex.com/wiki/Klog,found,
Komor,Komor,https://wiki.ultimacodex.com/wiki/Komor,found,
Kreg,Kreg,https://wiki.ultimacodex.com/wiki/Kreg,found,
Kristy,Kristy,https://wiki.ultimacodex.com/wiki/Kristy,found,
Lap Lem,Lap-Lem,https://wiki.ultimacodex.com/wiki/Lap-Lem,manual,"manual, hyphenated on wiki"
Lasher,Lasher,https://wiki.ultimacodex.com/wiki/Lasher,found,
Leavell,Leavell,https://wiki.ultimacodex.com/wiki/Leavell,found,
Leigh,Lady Leigh,https://wiki.ultimacodex.com/wiki/Lady_Leigh,found,redirected from 'Leigh'
Liana,Liana,https://wiki.ultimacodex.com/wiki/Liana,found,
Lord British,Lord British,https://wiki.ultimacodex.com/wiki/Lord_British,found,
Lord Heather,Lord Heather,https://wiki.ultimacodex.com/wiki/Lord_Heather,found,
Lucky,Lucky,https://wiki.ultimacodex.com/wiki/Lucky,found,
Lucy,Lucy,https://wiki.ultimacodex.com/wiki/Lucy,found,
Mack,Mack,https://wiki.ultimacodex.com/wiki/Mack,found,
Magenta,Magenta,https://wiki.ultimacodex.com/wiki/Magenta,found,
Malloy,Malloy and Owings,https://wiki.ultimacodex.com/wiki/Malloy_and_Owings,found,redirected from 'Malloy'
Mama,Mama,https://wiki.ultimacodex.com/wiki/Mama,found,
Mandy,Mandy,https://wiki.ultimacodex.com/wiki/Mandy,found,
Mara,Mara,https://wiki.ultimacodex.com/wiki/Mara,found,
Margareta,Margareta,https://wiki.ultimacodex.com/wiki/Margareta,found,
Mariah,Mariah,https://wiki.ultimacodex.com/wiki/Mariah,found,
Markham,Markham,https://wiki.ultimacodex.com/wiki/Markham,found,
Markus,Markus,https://wiki.ultimacodex.com/wiki/Markus,found,
Martine,Martine,https://wiki.ultimacodex.com/wiki/Martine,found,
Martingo,Martingo,https://wiki.ultimacodex.com/wiki/Martingo,found,
Max,Max,https://wiki.ultimacodex.com/wiki/Max,found,
Menion,Menion,https://wiki.ultimacodex.com/wiki/Menion,found,
Merrick,Merrick,https://wiki.ultimacodex.com/wiki/Merrick,found,
Meryl,Meryl,https://wiki.ultimacodex.com/wiki/Meryl,found,
Mikos,Mikos,https://wiki.ultimacodex.com/wiki/Mikos,found,
Millie,Millie,https://wiki.ultimacodex.com/wiki/Millie,found,
Miranda,Miranda,https://wiki.ultimacodex.com/wiki/Miranda,found,
Mole,Mole,https://wiki.ultimacodex.com/wiki/Mole,found,
Mordra,Mordra,https://wiki.ultimacodex.com/wiki/Mordra,found,
Morfin,Morfin,https://wiki.ultimacodex.com/wiki/Morfin,found,
Morz,Morz,https://wiki.ultimacodex.com/wiki/Morz,found,
Nanna,Nanna,https://wiki.ultimacodex.com/wiki/Nanna,found,
Nastassia,Nastassia,https://wiki.ultimacodex.com/wiki/Nastassia,found,
Nell,Nell,https://wiki.ultimacodex.com/wiki/Nell,found,
Nelson,Nelson,https://wiki.ultimacodex.com/wiki/Nelson,found,
Neno,Neno,https://wiki.ultimacodex.com/wiki/Neno,found,
Nicholas,Nicholas,https://wiki.ultimacodex.com/wiki/Nicholas,found,
Nicodemus,Nicodemus,https://wiki.ultimacodex.com/wiki/Nicodemus,found,
Nystul,Nystul,https://wiki.ultimacodex.com/wiki/Nystul,found,
Ophelia,Ophelia,https://wiki.ultimacodex.com/wiki/Ophelia,found,
Owen,Owen,https://wiki.ultimacodex.com/wiki/Owen,found,
Owings,Malloy and Owings,https://wiki.ultimacodex.com/wiki/Malloy_and_Owings,found,redirected from 'Owings'
Palace Guard,,,skip,no specific wiki page exists
Pamela,Pamela,https://wiki.ultimacodex.com/wiki/Pamela,found,
Papa,Papa,https://wiki.ultimacodex.com/wiki/Papa,found,
Patterson,Patterson,https://wiki.ultimacodex.com/wiki/Patterson,found,
Paul,Paul,https://wiki.ultimacodex.com/wiki/Paul,found,
Paulette,Paulette,https://wiki.ultimacodex.com/wiki/Paulette,found,
Pendaran,Sir Pendaran,https://wiki.ultimacodex.com/wiki/Sir_Pendaran,found,redirected from 'Pendaran'
Penni,Penni,https://wiki.ultimacodex.com/wiki/Penni,found,
Penumbra,Penumbra,https://wiki.ultimacodex.com/wiki/Penumbra,found,
Perrin,Perrin,https://wiki.ultimacodex.com/wiki/Perrin,found,
Petre,Petre,https://wiki.ultimacodex.com/wiki/Petre,found,
Phearcy,Phearcy,https://wiki.ultimacodex.com/wiki/Phearcy,found,
Polly,Polly,https://wiki.ultimacodex.com/wiki/Polly,found,
Quaeven,Quaeven,https://wiki.ultimacodex.com/wiki/Quaeven,found,
Quan,Quan,https://wiki.ultimacodex.com/wiki/Quan,found,
Quenton,Quenton,https://wiki.ultimacodex.com/wiki/Quenton,found,
Rankin,Rankin,https://wiki.ultimacodex.com/wiki/Rankin,found,
Rayburt,Rayburt,https://wiki.ultimacodex.com/wiki/Rayburt,found,
Raymundo,Raymundo,https://wiki.ultimacodex.com/wiki/Raymundo,found,
Reyna,Reyna,https://wiki.ultimacodex.com/wiki/Reyna,found,
Richter,Richter,https://wiki.ultimacodex.com/wiki/Richter,found,
Roberto,Roberto,https://wiki.ultimacodex.com/wiki/Roberto,found,
Robin,Robin,https://wiki.ultimacodex.com/wiki/Robin,found,
Rowena,Rowena,https://wiki.ultimacodex.com/wiki/Rowena,found,
Rudyom,Rudyom,https://wiki.ultimacodex.com/wiki/Rudyom,found,
Runeb,Runeb,https://wiki.ultimacodex.com/wiki/Runeb,found,
Russell,Russell,https://wiki.ultimacodex.com/wiki/Russell,found,
Rutherford,Rutherford,https://wiki.ultimacodex.com/wiki/Rutherford,found,
Salamon,Salamon,https://wiki.ultimacodex.com/wiki/Salamon,found,
Sam,Sam,https://wiki.ultimacodex.com/wiki/Sam,found,
Saralek,Saralek,https://wiki.ultimacodex.com/wiki/Saralek,found,
Sarpling,Sarpling,https://wiki.ultimacodex.com/wiki/Sarpling,found,
Sasha,Sasha,https://wiki.ultimacodex.com/wiki/Sasha,found,
Sean,Sean,https://wiki.ultimacodex.com/wiki/Sean,found,
Seara,Seara,https://wiki.ultimacodex.com/wiki/Seara,found,
Sentri,Sentri,https://wiki.ultimacodex.com/wiki/Sentri,found,
Shamino,Shamino,https://wiki.ultimacodex.com/wiki/Shamino,found,
Shanda,Hydra Brothers,https://wiki.ultimacodex.com/wiki/Hydra_Brothers,manual,"manual, shared hydra page"
Shando,Hydra Brothers,https://wiki.ultimacodex.com/wiki/Hydra_Brothers,manual,"manual, shared hydra page"
Shandu,Hydra Brothers,https://wiki.ultimacodex.com/wiki/Hydra_Brothers,manual,"manual, shared hydra page"
Sherry,Sherry the Mouse,https://wiki.ultimacodex.com/wiki/Sherry_the_Mouse,found,redirected from 'Sherry'
Shrine,,,skip,in SKIP list
Silamo,Silamo,https://wiki.ultimacodex.com/wiki/Silamo,found,
Sintag,Sintag,https://wiki.ultimacodex.com/wiki/Sintag,found,
Sir Jeff,Sir Jeff,https://wiki.ultimacodex.com/wiki/Sir_Jeff,found,
Smith,Smith the Horse,https://wiki.ultimacodex.com/wiki/Smith_the_Horse,found,redirected from 'Smith'
Smithy,Smithy,https://wiki.ultimacodex.com/wiki/Smithy,found,
Snaz,Snaz,https://wiki.ultimacodex.com/wiki/Snaz,found,
Spark,Spark,https://wiki.ultimacodex.com/wiki/Spark,found,
Sprellic,Sprellic,https://wiki.ultimacodex.com/wiki/Sprellic,found,
Stuart,Stuart,https://wiki.ultimacodex.com/wiki/Stuart,found,
Sullivan,Sullivan,https://wiki.ultimacodex.com/wiki/Sullivan,found,
Syria,Syria,https://wiki.ultimacodex.com/wiki/Syria,found,
Tavenor,Tavenor,https://wiki.ultimacodex.com/wiki/Tavenor,found,
Taylor,Taylor,https://wiki.ultimacodex.com/wiki/Taylor,found,
Teregus,Teregus,https://wiki.ultimacodex.com/wiki/Teregus,found,
Thad,Thad,https://wiki.ultimacodex.com/wiki/Thad,found,
Thurston,Thurston,https://wiki.ultimacodex.com/wiki/Thurston,found,
Tiery,Tiery,https://wiki.ultimacodex.com/wiki/Tiery,found,
Time Lord,Time Lord,https://wiki.ultimacodex.com/wiki/Time_Lord,found,
Timmons,Timmons,https://wiki.ultimacodex.com/wiki/Timmons,found,
Tobias,Tobias,https://wiki.ultimacodex.com/wiki/Tobias,found,
Tolemac,Tolemac,https://wiki.ultimacodex.com/wiki/Tolemac,found,
Tory,Lady Tory,https://wiki.ultimacodex.com/wiki/Lady_Tory,found,redirected from 'Tory'
Trellek,Trellek,https://wiki.ultimacodex.com/wiki/Trellek,found,
Trent,Trent,https://wiki.ultimacodex.com/wiki/Trent,found,
Tseramed,Tseramed,https://wiki.ultimacodex.com/wiki/Tseramed,found,
Vokes,Vokes,https://wiki.ultimacodex.com/wiki/Vokes,found,
Wayne,Wayne,https://wiki.ultimacodex.com/wiki/Wayne,found,
Wench,,,skip,in SKIP list
Weston,Weston,https://wiki.ultimacodex.com/wiki/Weston,found,
William,William,https://wiki.ultimacodex.com/wiki/William,found,
Willy,Willy,https://wiki.ultimacodex.com/wiki/Willy,found,
Wis Sur,Wis-Sur,https://wiki.ultimacodex.com/wiki/Wis-Sur,found,redirected from 'Wis Sur'
Wislem,Wislem,https://wiki.ultimacodex.com/wiki/Wislem,found,
Xanthia,Xanthia,https://wiki.ultimacodex.com/wiki/Xanthia,found,
Xorinia,Xorinite Wisp,https://wiki.ultimacodex.com/wiki/Xorinite_Wisp,manual,"manual, class name on wiki"
Yongi,Yongi,https://wiki.ultimacodex.com/wiki/Yongi,found,
Yvella,Yvella,https://wiki.ultimacodex.com/wiki/Yvella,found,
Zaksam,Zaksam,https://wiki.ultimacodex.com/wiki/Zaksam,found,
Zelda,Zelda,https://wiki.ultimacodex.com/wiki/Zelda,found,
Zella,Zella,https://wiki.ultimacodex.com/wiki/Zella,found,
Zinaida,Zinaida,https://wiki.ultimacodex.com/wiki/Zinaida,found,
Zorn,Zorn,https://wiki.ultimacodex.com/wiki/Zorn,found,
