npc_name,city,voice_id,voice_name,preview_url,assigned_at
Ansikart,Vesper,8BWxz4Gm4lqwJSfubGb8,"Roxby - Calm, Resonant and Soothing",https://storage.googleapis.com/eleven-public-prod/database/workspace/fa76a3aa479e47108d7ff12d360d91eb/voices/8BWxz4Gm4lqwJSfubGb8/HuVH9zOG7aOVem8kzkk4.mp3,2026-04-19 01:06:53
Anton,Buccaneer's Den,bTrXJpbeuC5KgriLhQeC,Peter,https://storage.googleapis.com/eleven-public-prod/database/workspace/1da06ea679a54975ad96a2221fe6530d/voices/bTrXJpbeuC5KgriLhQeC/VM0T1wrxlg7KPFYZVaUz.mp3,2026-04-19 01:21:08
Apollonia,Trinsic,cENJycK4Wg62xVikqkaA,Izumi - Sultry and Demanding Diva,https://storage.googleapis.com/eleven-public-prod/database/workspace/7fecf268e01a428d8fba6ab8965f857c/voices/cENJycK4Wg62xVikqkaA/d3lDmG5WO2kjqKHnCrYo.mp3,2026-04-18 20:17:50
Arcadion,Forge of Virtue,cPoqAvGWCPfCfyPMwe4z,"Victor - Deep, Malevolent and Ancient",https://storage.googleapis.com/eleven-public-prod/database/workspace/7c2b4034a26145d0964a11c1c4a4bfa9/voices/cPoqAvGWCPfCfyPMwe4z/d7b24042-07ce-4fd5-aeff-dcf71edced52.mp3,2026-04-19 01:37:44
Aurvidlem,Vesper,NYkjXRso4QIcgWakN1Cr,Silas Vane - Sensory Relaxation Coach,https://storage.googleapis.com/eleven-public-prod/database/workspace/c9b65c63fc5d48858fd5a45fc70cd151/voices/NYkjXRso4QIcgWakN1Cr/Ecrq6ZN1KwFGVw6YDZKJ.mp3,2026-04-19 01:07:32
Auston,Vesper,v1Oa3bMmaLK6LwTzVkOy,Peter - Authority & Clarity ,https://storage.googleapis.com/eleven-public-prod/database/workspace/de90b12c403541018af9969f262fca56/voices/v1Oa3bMmaLK6LwTzVkOy/OsbGPDloFpcNQQwS8Qth.mp3,2026-04-19 01:07:59
Avatar,,4BAlflaQyhIcCfHiEI7x,Tess - Direct and Grounded,https://storage.googleapis.com/eleven-public-prod/database/workspace/1da06ea679a54975ad96a2221fe6530d/voices/4BAlflaQyhIcCfHiEI7x/d4cea334-38ca-47d5-a42a-905382e2d388.mp3,2026-04-19 02:23:46
Balayna,Moonglow,d1PjUBrElTJTH5EkXPZp,Helena Watson - Authoritative but warm ,https://storage.googleapis.com/eleven-public-prod/database/workspace/2ae7a3ead63a44afa0e4f859785cc636/voices/d1PjUBrElTJTH5EkXPZp/dfjgFCfxaWlZqDQSjovz.mp3,2026-04-19 00:35:47
Batlin,Britain,qWdiyiWdNPlPyVCOLW0h,"Aaditya - Soothing, Silky and Intimate",https://storage.googleapis.com/eleven-public-prod/database/workspace/ed9b05e6324c457685490352e9a1ec90/voices/qWdiyiWdNPlPyVCOLW0h/MpfEQOUPxzBWobzkbNPQ.mp3,2026-04-18 19:50:03
Battles,New Magincia,aGv5jHWKBy8K5xKvYeSX,"Sael - Smooth, dry-witted & quietly reassuring",https://storage.googleapis.com/eleven-public-prod/database/workspace/f1affe425a5841d88b0c1f6aa4666fc0/voices/aGv5jHWKBy8K5xKvYeSX/iijbdLVDbrj5j3iZ0Rwd.mp3,2026-04-19 00:23:00
Ben,Yew,kmuUqyzoZLUXn7KeBkuY,"Yannick - Calm, Friendly Senior",https://storage.googleapis.com/eleven-public-prod/database/workspace/ddac6e3f22444e08ad1bf24399a8b0eb/voices/kmuUqyzoZLUXn7KeBkuY/410bd3ba-3316-439b-9945-8cbf5322e12f.mp3,2026-04-19 00:00:44
Bennie,Britain,0lp4RIz96WD1RUtvEu3Q,"Grandfather Joe -  Gentle, warm & wise",https://storage.googleapis.com/eleven-public-prod/database/workspace/8ea18f54734242deb00d4fd70279d29f/voices/0lp4RIz96WD1RUtvEu3Q/T7ZcSRJXOlJc8t0VtXWA.mp3,2026-04-18 20:30:16
Betra,Terfin,CVP7d0EDsPO8YR2fweYp,Victor Hale,https://storage.googleapis.com/eleven-public-prod/database/workspace/42e4d30a6e964546ade309947a20dfa0/voices/CVP7d0EDsPO8YR2fweYp/ryVxyKkQgPF5b1rG7zCj.mp3,2026-04-19 00:51:32
Beverlea,Paws,xQoJctkjLbN6MAa5Ibhk,Molly Piper,https://storage.googleapis.com/eleven-public-prod/database/workspace/7ea0f0c57fa84951a18d82818bb55209/voices/xQoJctkjLbN6MAa5Ibhk/9m6jCO4tQ7cWnlQ6yeJu.mp3,2026-04-18 22:47:12
Blacktooth,Buccaneer's Den,PPzYpIqttlTYA83688JI,Pirate Marshal,https://storage.googleapis.com/eleven-public-prod/custom/voices/PPzYpIqttlTYA83688JI/F760DH2kQnSS41dOX4lB.mp3,2026-04-16 06:11:54
Blorn,Vesper,c8MZcZcr0JnMAwkwnTIu,Jay - Proper Mancunian,https://storage.googleapis.com/eleven-public-prod/database/workspace/00abe452de894e0296475dc975034b7a/voices/c8MZcZcr0JnMAwkwnTIu/TCPnFFewYGMYUHmb0BX1.mp3,2026-04-19 01:08:24
Bollux,Forge of Virtue,lL4hpA5hxNF3ovpnRQT5,Barry - Gentle English Male mindful,https://storage.googleapis.com/eleven-public-prod/database/workspace/10d47b04c8ef457a8144c00fac7028a6/voices/lL4hpA5hxNF3ovpnRQT5/KHLfcIplmbf9XSq9QtUd.mp3,2026-04-19 01:39:26
Boots,Britain,2qQJWjw5XdG80GreshqG,Eleanor – Gracious and Authoritative,https://storage.googleapis.com/eleven-public-prod/database/workspace/1da06ea679a54975ad96a2221fe6530d/voices/2qQJWjw5XdG80GreshqG/063dc1a0-ee77-425f-bde8-f2724daf0010.mp3,2026-04-18 20:31:45
Boris,New Magincia,zjp8g43VyHetVrapogHE,Chris Pro ,https://storage.googleapis.com/eleven-public-prod/database/workspace/76a1869b4779450d8fc96add7c3d9086/voices/zjp8g43VyHetVrapogHE/cb34adef-b9a0-4ad8-a759-33795e730885.mp3,2026-04-19 00:23:43
Bradman,Yew,3dmeMOtCk4YVlhVD8Q5I,Ron Lee,https://storage.googleapis.com/eleven-public-prod/custom/voices/3dmeMOtCk4YVlhVD8Q5I/xPBeuUbJX3NZ09i6PgpV.mp3,2026-04-19 00:01:01
Brion,Moonglow,D87GMLg1Z1DRUwipPXoh,James - Calm & Informative,https://storage.googleapis.com/eleven-public-prod/database/workspace/6bd5e69763314040bc510b8dce315c18/voices/D87GMLg1Z1DRUwipPXoh/734fc70f-e3c5-4603-87e3-1da369da7e1e.mp3,2026-04-19 00:36:13
Brita,Paws,nMdz47otfuHW82bXW6Pf,Pec,https://storage.googleapis.com/eleven-public-prod/database/workspace/93b1ee0cf6e04980929e2151f2620749/voices/nMdz47otfuHW82bXW6Pf/60662db3-2b8a-442d-a893-579c1508d32d.mp3,2026-04-18 22:48:01
Brownie,Britain,eURLKBzvb5E5aqqZzVll,Ian - UK southwest accent,https://storage.googleapis.com/eleven-public-prod/database/workspace/d43607d97b554bbc81d54cffcc899f80/voices/eURLKBzvb5E5aqqZzVll/7129be0a-fcf5-4d08-9793-e25447c9d325.mp3,2026-04-18 20:33:01
Budo,Buccaneer's Den,aGv5jHWKBy8K5xKvYeSX,"Sael - Smooth, dry-witted & quietly reassuring",https://storage.googleapis.com/eleven-public-prod/database/workspace/f1affe425a5841d88b0c1f6aa4666fc0/voices/aGv5jHWKBy8K5xKvYeSX/iijbdLVDbrj5j3iZ0Rwd.mp3,2026-04-19 01:22:06
Burnside,Minoc,h9CKu0pq1LSjIPhJEGCv,Nathaniel C – Kid's Bedtime Storyteller,https://storage.googleapis.com/eleven-public-prod/database/workspace/ed9b05e6324c457685490352e9a1ec90/voices/h9CKu0pq1LSjIPhJEGCv/1LrMr1Rh6PBFgHanK9jg.mp3,2026-04-18 23:35:36
Cador,Vesper,bVsj1k2UCjmStPeev30q,Justin - Chatty and confident British male,https://storage.googleapis.com/eleven-public-prod/database/workspace/fa76a3aa479e47108d7ff12d360d91eb/voices/bVsj1k2UCjmStPeev30q/wW8BxpJMLW9BIFDrboFK.mp3,2026-04-19 01:09:12
Caine,Skara Brae,BQOei2tk6QCBMHQWPhbj,Cedric - Slow-Burn Horror Storyteller,https://storage.googleapis.com/eleven-public-prod/database/workspace/ed9b05e6324c457685490352e9a1ec90/voices/BQOei2tk6QCBMHQWPhbj/qnR7LEnRKtOGtcXjGRBB.mp3,2026-04-19 00:28:10
Cairbre,Dungeon,ytcsltLTtCHxNn1vC76H,Ricky,https://storage.googleapis.com/eleven-public-prod/database/workspace/7f9956b146334de0b1fcf4e2a4d9a277/voices/ytcsltLTtCHxNn1vC76H/HPNdgDxl1yMHNsqiLBBd.mp3,2026-04-19 02:09:55
Camille,Paws,kkPJzQOWz2Oz9cUaEaQd,"Beatrice - Mature, Gentle and Engaging",https://storage.googleapis.com/eleven-public-prod/database/workspace/338f089e5ab24693a1c42cd084413dc8/voices/kkPJzQOWz2Oz9cUaEaQd/D89YvNPOU9wk5ykb0ysz.mp3,2026-04-18 22:50:35
Candice,Britain,qTx8G3QX5lqjb2hAokQl,Suzie Sogam – Engaging Podcast Host ,https://storage.googleapis.com/eleven-public-prod/database/workspace/ed9b05e6324c457685490352e9a1ec90/voices/qTx8G3QX5lqjb2hAokQl/PynNKPpgEsmKwvF5p7mO.mp3,2026-04-18 20:36:01
Carlyn,Moonglow,6D0sQS9lLGhEpiV0hbmY,Florence - Natural British Voice,https://storage.googleapis.com/eleven-public-prod/database/workspace/961ac5b763734fb88e6d60bf71265ce5/voices/6D0sQS9lLGhEpiV0hbmY/O9QMJvhacKtHfcPnNddq.mp3,2026-04-19 00:36:32
Caroline,Trinsic,n3Vun1rdyiQUF5EqCtmC,"Amy - Warm, Bright and Approachable",https://storage.googleapis.com/eleven-public-prod/database/workspace/bc2a5d43bb124f10a9ab14e5a081b3c6/voices/n3Vun1rdyiQUF5EqCtmC/8edb40bc-51b0-4268-9e1d-e2c09b01c41d.mp3,2026-04-18 20:15:08
Carrocio,Britain,wAR0KVn2fhmEcwsfuDWv,"Matt - Poetic, Warm and Balanced",https://storage.googleapis.com/eleven-public-prod/database/workspace/dec3c964e96843fdbe9fb3327c8ceb7e/voices/wAR0KVn2fhmEcwsfuDWv/a53cd22e-3a28-4e4c-9b2c-a4f411b712d1.mp3,2026-04-18 20:43:57
Catherine,Vesper,XXphLKNRxvJ1Qa95KBhX,Blondie - Dynamic Children’s Storyteller,https://storage.googleapis.com/eleven-public-prod/database/workspace/5436b9517877459789c325d2f939c653/voices/XXphLKNRxvJ1Qa95KBhX/5i9i49c5SC0IQmegQoM4.mp3,2026-04-19 01:09:52
Chad,Moonglow,NfUrCNRReUL9RXS9upG1,Scotty Marshal,https://storage.googleapis.com/eleven-public-prod/custom/voices/NfUrCNRReUL9RXS9upG1/90QNyhHcQhggom7JCrJR.mp3,2026-04-19 00:37:05
Chantu,Trinsic,BBfN7Spa3cqLPH1xAS22,Beezle Wheezelby,https://storage.googleapis.com/eleven-public-prod/database/workspace/79b90ec7050840bcada33ca8c636f86a/voices/BBfN7Spa3cqLPH1xAS22/KsTI2Il0S4ky55b1LwxN.mp3,2026-04-18 20:19:09
Charles,Britain,5CVPhTb5MRRQJzVK98NN,"John - Soft-Spoken, Natural and Kind",https://storage.googleapis.com/eleven-public-prod/database/workspace/72440d370bad4e0f9584bea1845e0750/voices/5CVPhTb5MRRQJzVK98NN/025fcdc0-fd84-4a6a-b74e-5416abb004b6.mp3,2026-04-18 20:49:50
Chuckles,Britain,DfE5EkknFF950NR6OMui,Bob,https://storage.googleapis.com/eleven-public-prod/database/workspace/3bc32a3d123f4dc385638b537ec6d8a6/voices/DfE5EkknFF950NR6OMui/ndXdXftPOxkMIvff7K6k.mp3,2026-04-18 19:45:04
Clint,Britain,2ajXGJNYBR0iNHpS4VZb,Rob - Tough & Calloused,https://storage.googleapis.com/eleven-public-prod/database/workspace/c915cc6b038c4ee594dea6e889603893/voices/2ajXGJNYBR0iNHpS4VZb/qei25Eeg71wvBuDXvBYN.mp3,2026-04-18 20:47:14
Constance,New Magincia,X6VIT9ZXy5Nr7EmuLOGz,"Daria - Soft, Seductive, Villain, Mysterious voice",https://storage.googleapis.com/eleven-public-prod/database/workspace/c3d3168749564f5fbbccc517fc601b69/voices/X6VIT9ZXy5Nr7EmuLOGz/3c94dae7-0f7d-446c-b8dc-f9a96a8356d5.mp3,2026-04-19 00:24:01
Coop,Britain,2LslKNCAKrrgSuf8fLbc,"John - Energetic, Authentic and Local",https://storage.googleapis.com/eleven-public-prod/database/workspace/bf46188c22024d71bbf8b51cac1490d7/voices/2LslKNCAKrrgSuf8fLbc/4b4ba69f-fd84-40ff-946b-ebcf9733b80e.mp3,2026-04-18 20:52:35
Cosmo,Dungeon,zVEeCjaqbVNAOw2IcbnA,Lex - Englishman,https://storage.googleapis.com/eleven-public-prod/database/workspace/44be10e5c93a44a5a4a3ed1eaeac37ae/voices/zVEeCjaqbVNAOw2IcbnA/172ca1d5-c39c-4475-af2b-e75cec5d820d.mp3,2026-04-19 02:11:03
Csil,Britain,2qQJWjw5XdG80GreshqG,Eleanor – Gracious and Authoritative,https://storage.googleapis.com/eleven-public-prod/database/workspace/1da06ea679a54975ad96a2221fe6530d/voices/2qQJWjw5XdG80GreshqG/063dc1a0-ee77-425f-bde8-f2724daf0010.mp3,2026-04-18 20:55:29
Cubolt,Moonglow,QjB4YEs2DhdhTmZbJqFQ,"Cedric M - Deep, Speady and Clear",https://storage.googleapis.com/eleven-public-prod/database/workspace/ed9b05e6324c457685490352e9a1ec90/voices/QjB4YEs2DhdhTmZbJqFQ/mMY8FvFGijqa732a87xT.mp3,2026-04-19 00:39:53
Cynthia,Britain,l0jEJEG5ZuUd9SnkaVdv,Olivia J – Warm & Professional Customer Care,https://storage.googleapis.com/eleven-public-prod/database/workspace/ed9b05e6324c457685490352e9a1ec90/voices/l0jEJEG5ZuUd9SnkaVdv/rNi48r7KBZ9KxnlWDA0X.mp3,2026-04-18 20:58:31
D Rel,Dungeon,jhBzyKbsdeM6F66SZCaK,Sterling - Steady and Resonant,https://storage.googleapis.com/eleven-public-prod/database/workspace/1da06ea679a54975ad96a2221fe6530d/voices/jhBzyKbsdeM6F66SZCaK/185cd207-a3c1-435b-a10b-bcc27469e2da.mp3,2026-04-19 02:11:54
Danag,Buccaneer's Den,HM2kjmxf584DyZCsWcSg,Leslie,https://storage.googleapis.com/eleven-public-prod/database/workspace/7fbcd4145f5148d5a0c17f2e3859ef2a/voices/HM2kjmxf584DyZCsWcSg/f19ce378-eb1c-4ee8-ba2d-98c66c86a276.mp3,2026-04-19 01:24:11
Daphne,Jhelom,exsUS4vynmxd379XN4yO,Blondie - Conversational,https://storage.googleapis.com/eleven-public-prod/database/workspace/13b55e382ca24fa28c38be0dcfa413df/voices/exsUS4vynmxd379XN4yO/Z1h09ab4rUV5TK5cFWIL.mp3,2026-04-19 00:15:52
Dark Core,Forge of Virtue,bwCXcoVxWNYMlC6Esa8u,"Matthew Schmitz - Gravel, Deep Anti-Hero",https://storage.googleapis.com/eleven-public-prod/database/workspace/d309ea25683d4d97b92e44772a430c74/voices/bwCXcoVxWNYMlC6Esa8u/7oTdXcBZTt2vzYio8oCo.mp3,2026-04-19 01:53:24
De Maria,Cove,C4BcjQLTcgWGQFabGhsF,Mr. Reyes,https://storage.googleapis.com/eleven-public-prod/database/workspace/9ee2bc7de2c64d29943f618d4f920a55/voices/C4BcjQLTcgWGQFabGhsF/fc4f62f2-ed9b-46ca-ab7b-1fbfe5882174.mp3,2026-04-18 23:11:43
De Snel,Jhelom,dG7SBJDxDoZkQUrwvqrD,Medraut - Theatrical Villain & Sardonic Sovereign,https://storage.googleapis.com/eleven-public-prod/database/workspace/dbc0ca7affc9443599cdb53aaab1d595/voices/dG7SBJDxDoZkQUrwvqrD/K3ZTGOB9tX1Vuy9cZprp.mp3,2026-04-19 00:16:41
Dell,Trinsic,M5E055lOUxMi0kJpGyE9,Gravel Midnight – Deep Grit Character Voice,https://storage.googleapis.com/eleven-public-prod/database/workspace/1b2434ad621f4bc88beca1a0d4896611/voices/M5E055lOUxMi0kJpGyE9/e3264828-f266-457d-94dd-29893cacb9a1.mp3,2026-04-16 06:09:28
Denby,Britain,E0XZpcnyzAqDnxXoA920,Abhay – Smart BFSI Customer Care Agent,https://storage.googleapis.com/eleven-public-prod/database/workspace/ed9b05e6324c457685490352e9a1ec90/voices/E0XZpcnyzAqDnxXoA920/SvPzb8lhMLqClcxumhxT.mp3,2026-04-18 20:59:48
Denton,Serpent's Hold,Sq93GQT4X1lKDXsQcixO,"Felix - Warm, positive & contemporary RP",https://storage.googleapis.com/eleven-public-prod/database/workspace/f1affe425a5841d88b0c1f6aa4666fc0/voices/Sq93GQT4X1lKDXsQcixO/0NEVDESbOjo4aachPLfb.mp3,2026-04-19 00:58:24
Diane,Britain,aSIbKKp3u3QaokVrrfmt,"Cheryl - Warm, Bright and Approachable",https://storage.googleapis.com/eleven-public-prod/database/workspace/df551695ba034261b7590cc1cf95fdd0/voices/aSIbKKp3u3QaokVrrfmt/f521988d-b238-4260-ab72-fae8ad6a1357.mp3,2026-04-18 21:01:18
Dracothraxus,Forge of Virtue,xsiB5fGhEtknnqzudCO6,Smoke - The Dragon,https://storage.googleapis.com/eleven-public-prod/database/workspace/631bf5a20c2d45ffacc1311eb5dec41f/voices/xsiB5fGhEtknnqzudCO6/GAzRSnPZDgcCyqHRfRyT.mp3,2026-04-19 01:54:18
Draxinusom,Terfin,UzI1NsMEV3ni5JRkRSls,Alistair – Cultured and Articulate,https://storage.googleapis.com/eleven-public-prod/database/workspace/1da06ea679a54975ad96a2221fe6530d/voices/UzI1NsMEV3ni5JRkRSls/e842aade-18ef-4edc-bdaa-e34c0e8e53c0.mp3,2026-04-19 00:52:31
Dupre,Party,Xq2dbIWNPChFB77imiDe,Gideon - Pirate,https://storage.googleapis.com/eleven-public-prod/database/workspace/a456897a2f294556841ad2761f1c1a11/voices/Xq2dbIWNPChFB77imiDe/14fffb7d-79c9-4845-94b0-54eff04be205.mp3,2026-04-16 06:07:09
Dustin,Trinsic,LeLdLlKVi60fgoYc1On1,Freddy - Grounded Actor,https://storage.googleapis.com/eleven-public-prod/database/workspace/15932a5a036e43b7979f3086b295f8ab/voices/LeLdLlKVi60fgoYc1On1/WIPwMzFOkPl1M7Az89BJ.mp3,2026-04-18 20:39:42
Effrem,Moonglow,dUercWozs0yhe4xBCgZ0,Professor Nathaniel Mandrake -  Sardonic Academic & Bitter Wit,https://storage.googleapis.com/eleven-public-prod/database/workspace/dbc0ca7affc9443599cdb53aaab1d595/voices/dUercWozs0yhe4xBCgZ0/hnuKwqU2ZhP5zzl7He6B.mp3,2026-04-19 00:40:10
Eiko,Dagger Isle,6aO1exAR9bDruq155LzQ,Monika Sogam – Sinister Creepy Voice,https://storage.googleapis.com/eleven-public-prod/database/workspace/ed9b05e6324c457685490352e9a1ec90/voices/6aO1exAR9bDruq155LzQ/YsBBE5qXtoNHOrmrlkm2.mp3,2026-04-19 02:06:13
Elad,Moonglow,Tx7VLgfksXHVnoY6jDGU,"Conversational Joe - A chatty casual voice, British RP male",https://storage.googleapis.com/eleven-public-prod/database/workspace/8ea18f54734242deb00d4fd70279d29f/voices/Tx7VLgfksXHVnoY6jDGU/0OHEekqEGIBqmm8NRtgd.mp3,2026-04-19 00:41:30
Eldroth,Vesper,DfE5EkknFF950NR6OMui,Bob,https://storage.googleapis.com/eleven-public-prod/database/workspace/3bc32a3d123f4dc385638b537ec6d8a6/voices/DfE5EkknFF950NR6OMui/ndXdXftPOxkMIvff7K6k.mp3,2026-04-19 01:11:06
Elizabeth,Endgame,nDJIICjR9zfJExIFeSCN,Emmaline - young British girl,https://storage.googleapis.com/eleven-public-prod/custom/voices/nDJIICjR9zfJExIFeSCN/QCyFH02mR1zeVFE0bC4x.mp3,2026-04-19 02:20:40
Ellen,Trinsic,xQoJctkjLbN6MAa5Ibhk,Molly Piper,https://storage.googleapis.com/eleven-public-prod/database/workspace/7ea0f0c57fa84951a18d82818bb55209/voices/xQoJctkjLbN6MAa5Ibhk/9m6jCO4tQ7cWnlQ6yeJu.mp3,2026-04-18 20:23:04
Elynor,Minoc,lUCNYQh2kqW2wiie85Qk,Charmion - Soft and husky,https://storage.googleapis.com/eleven-public-prod/RimHwwF9RLXKyDFWJaBLpWiGSr93/voices/lUCNYQh2kqW2wiie85Qk/89c6cfb4-9665-46c2-b665-037be403172b.mp3,2026-04-18 23:37:02
Emp,,Aqqzjc8no56A9UgQcOnP,"Chill Phil - Calm, Meditative Narrator",https://storage.googleapis.com/eleven-public-prod/database/workspace/e22a6f6e2895472ea453c6ce5ab8ee29/voices/Aqqzjc8no56A9UgQcOnP/jKVdv9UXDKRomZReNpXI.mp3,2026-04-19 02:25:00
Erethian,Forge of Virtue,UzI1NsMEV3ni5JRkRSls,Alistair – Cultured and Articulate,https://storage.googleapis.com/eleven-public-prod/database/workspace/1da06ea679a54975ad96a2221fe6530d/voices/UzI1NsMEV3ni5JRkRSls/e842aade-18ef-4edc-bdaa-e34c0e8e53c0.mp3,2026-04-19 01:56:55
Fenn,Paws,DfE5EkknFF950NR6OMui,Bob,https://storage.googleapis.com/eleven-public-prod/database/workspace/3bc32a3d123f4dc385638b537ec6d8a6/voices/DfE5EkknFF950NR6OMui/ndXdXftPOxkMIvff7K6k.mp3,2026-04-18 22:52:38
Feridwyn,Paws,Gf2vlf3D7zk4ydlo3ULy,John - Warm British,https://storage.googleapis.com/eleven-public-prod/database/workspace/be01a1de90894e2f9e7a6ad020d8ef47/voices/Gf2vlf3D7zk4ydlo3ULy/7949e2c4-6dae-4b2c-852b-4760a841ae95.mp3,2026-04-18 22:53:59
Ferryman,Forge of Virtue,HAvvFKatz0uu0Fv55Riy,Matthew Schmitz - Ancient Sage Dragon Wizard,https://storage.googleapis.com/eleven-public-prod/database/workspace/d309ea25683d4d97b92e44772a430c74/voices/HAvvFKatz0uu0Fv55Riy/0URfQxPlTcFUypsJcO6A.mp3,2026-04-19 01:57:24
Figg,Britain,dqbqOZM4uhsyx1WtTAgT,Max - 1940s RP British voice,https://storage.googleapis.com/eleven-public-prod/database/workspace/93b6e651b82e430c82e72bb8a257f8e9/voices/dqbqOZM4uhsyx1WtTAgT/QVyIujMXrfKj4PmZzRtI.mp3,2026-04-18 21:02:12
Finnigan,Trinsic,l1d1DlQ9BVMMQMoVx1oe,Finnigan,https://storage.googleapis.com/eleven-public-prod/database/workspace/fde22e2d61f64e8bafa9a8e137997450/voices/l1d1DlQ9BVMMQMoVx1oe/7eb242b5-f824-407a-bd9d-4528ed207223.mp3,2026-04-19 02:37:19
Fodus,Minoc,AmY1pcgcEc15wyuIj50p,Chris -  Northern UK ,https://storage.googleapis.com/eleven-public-prod/database/workspace/59fd4b32a316419a8f9cd87d3873e2ac/voices/AmY1pcgcEc15wyuIj50p/S6JywTDGzgpvH7ANCv7b.mp3,2026-04-18 23:39:37
For Lem,Vesper,AeRdCCKzvd23BpJoofzx,"Nathaniel - Engaging, British and Calm",https://storage.googleapis.com/eleven-public-prod/database/workspace/514d94e9241c48e8b7905375729c436f/voices/AeRdCCKzvd23BpJoofzx/o8c52wXX8Ydhw6NVAg0a.mp3,2026-04-19 01:11:58
Foranamo,Vesper,NxGA8X3YhTrnf3TRQf6Q,"Jerry B. - Evil, Villain, Horror, Thriller",https://storage.googleapis.com/eleven-public-prod/database/workspace/5f71481a3f1e44d38a4bb9ffd235ea8a/voices/NxGA8X3YhTrnf3TRQf6Q/zUWEsKmuAhz5AJSdXPrO.mp3,2026-04-19 01:12:24
Forbrak,Terfin,1pSYJ3xwoX6ZeuFWq39M,Terry Davies - Reflective Narrator,https://storage.googleapis.com/eleven-public-prod/database/workspace/be08f0ae45e34299a2348be0eaa502ee/voices/1pSYJ3xwoX6ZeuFWq39M/1483d79a-5b9a-4cd5-952f-adffdfc7d7c7.mp3,2026-04-19 00:53:18
Forskis,Endgame,kVBPcEMsUF1nsAO1oNWw,Andy,https://storage.googleapis.com/eleven-public-prod/custom/voices/kVBPcEMsUF1nsAO1oNWw/Rl1NSlUqDWlKAaw3g0AX.mp3,2026-04-19 02:21:17
Forsythe,Skara Brae,JPebmqlSqzZByHeisFPx,"Hans - Emotional, Soft and Present",https://storage.googleapis.com/eleven-public-prod/database/workspace/a3b77521e0ad43e59cc1a45f116787a3/voices/JPebmqlSqzZByHeisFPx/iL3pNSiNlCR9QCtEy5K7.mp3,2026-04-19 00:29:01
